Total_ID,Service,Date
94,BHD,2019-05-19
86,BHD,2019-08-10
78,BHD,2019-11-01
81,BHD,2019-06-11
89,BHD,2019-07-04
83,BHD,2019-09-02
467,BHD,2020-01-23
540,BHD,2020-05-31
69,BHD,2019-11-24
86,BHD,2019-07-27
709,BHD,2020-04-15
59,BHD,2019-09-25
645,BHD,2020-02-15
55,BHD,2019-12-17
575,BHD,2020-02-04
52,BHD,2019-12-06
672,BHD,2020-04-27
709,BHD,2020-02-27
79,BHD,2019-06-17
104,BHD,2019-05-11
84,BHD,2019-07-10
88,BHD,2019-09-08
69,BHD,2019-11-30
56,BHD,2019-10-01
89,BHD,2019-07-07
92,BHD,2019-05-08
72,BHD,2019-07-30
83,BHD,2019-09-28
530,BHD,2020-05-20
92,BHD,2019-05-31
64,BHD,2019-12-20
63,BHD,2019-08-22
88,BHD,2019-10-21
585,BHD,2020-03-12
275,BHD,2020-01-12
92,BHD,2019-06-23
84,BHD,2019-09-14
59,BHD,2019-11-13
1059,BHD,2020-04-04
59,BHD,2019-08-19
85,BHD,2019-06-20
59,BHD,2019-09-11
75,BHD,2019-11-10
84,BHD,2019-07-13
604,BHD,2020-02-01
152,BHD,2019-10-04
52,BHD,2019-12-03
750,BHD,2020-04-24
649,BHD,2020-02-24
47,BHD,2019-12-26
789,BHD,2020-05-17
695,BHD,2020-03-18
79,BHD,2019-08-02
631,BHD,2020-02-21
46,BHD,2019-12-23
81,BHD,2019-10-24
642,BHD,2020-05-14
668,BHD,2020-03-15
368,BHD,2020-01-15
83,BHD,2019-05-05
915,BHD,2020-04-07
675,BHD,2020-02-07
739,BHD,2020-04-30
94,BHD,2019-05-28
86,BHD,2019-07-16
76,BHD,2019-05-17
153,BHD,2019-10-07
93,BHD,2019-06-09
53,BHD,2019-12-29
503,BHD,2020-05-26
82,BHD,2019-08-08
89,BHD,2019-08-31
61,BHD,2019-10-30
694,BHD,2020-03-21
443,BHD,2020-01-21
71,BHD,2019-11-22
780,BHD,2020-04-13
629,BHD,2020-02-13
444,BHD,2020-01-18
56,BHD,2019-11-19
850,BHD,2020-04-10
65,BHD,2019-09-20
601,BHD,2020-02-10
51,BHD,2019-12-12
648,BHD,2020-05-03
198,BHD,2019-10-13
685,BHD,2020-03-04
69,BHD,2020-01-04
646,BHD,2020-03-27
87,BHD,2019-11-02
623,BHD,2020-03-24
436,BHD,2020-01-24
86,BHD,2019-05-14
717,BHD,2020-04-16
69,BHD,2019-06-06
560,BHD,2020-05-29
68,BHD,2019-08-05
81,BHD,2019-10-27
81,BHD,2019-06-29
66,BHD,2019-08-28
582,BHD,2020-05-06
84,BHD,2019-06-03
89,BHD,2019-06-26
100,BHD,2019-08-25
75,BHD,2019-11-16
74,BHD,2019-07-19
73,BHD,2019-09-17
81,BHD,2019-05-20
46,BHD,2019-12-09
113,BHD,2019-08-11
111,BHD,2019-10-10
642,BHD,2020-03-01
842,BHD,2020-05-23
69,BHD,2020-01-01
630,BHD,2020-02-19
54,BHD,2019-12-21
554,BHD,2020-05-12
609,BHD,2020-03-13
73,BHD,2019-05-03
94,BHD,2019-07-02
58,BHD,2019-09-23
76,BHD,2019-05-26
73,BHD,2019-07-25
67,BHD,2019-12-15
133,BHD,2019-10-16
774,BHD,2020-04-25
79,BHD,2019-07-22
82,BHD,2019-05-23
72,BHD,2019-08-14
63,BHD,2019-11-05
94,BHD,2019-06-15
76,BHD,2019-09-06
500,BHD,2020-01-27
64,BHD,2019-11-28
82,BHD,2019-07-08
84,BHD,2019-09-29
791,BHD,2020-04-19
56,BHD,2019-09-03
91,BHD,2019-05-06
75,BHD,2019-07-05
68,BHD,2019-09-26
66,BHD,2019-11-25
651,BHD,2020-02-16
83,BHD,2019-07-28
182,BHD,2019-10-19
47,BHD,2019-12-18
584,BHD,2020-05-09
636,BHD,2020-03-10
202,BHD,2020-01-10
890,BHD,2020-04-02
86,BHD,2019-06-18
96,BHD,2019-08-17
602,BHD,2020-03-07
54,BHD,2019-11-08
38,BHD,2020-01-07
681,BHD,2020-03-30
62,BHD,2019-09-09
475,BHD,2020-01-30
56,BHD,2019-12-01
719,BHD,2020-04-22
658,BHD,2020-02-22
745,BHD,2020-05-15
94,BHD,2019-06-12
91,BHD,2019-06-01
62,BHD,2019-08-23
75,BHD,2019-10-22
77,BHD,2019-06-24
233,BHD,2020-01-13
78,BHD,2019-09-15
51,BHD,2019-11-14
1048,BHD,2020-04-05
630,BHD,2020-02-05
59,BHD,2019-12-07
624,BHD,2020-04-28
647,BHD,2020-02-28
54,BHD,2019-12-30
46,BHD,2019-12-04
181,BHD,2019-10-05
78,BHD,2019-05-15
85,BHD,2019-08-06
626,BHD,2020-02-25
50,BHD,2019-12-27
53,BHD,2019-10-28
591,BHD,2020-05-18
708,BHD,2020-03-19
485,BHD,2020-01-19
867,BHD,2020-04-11
77,BHD,2019-07-31
92,BHD,2019-05-09
70,BHD,2019-11-17
897,BHD,2020-04-08
677,BHD,2020-02-08
694,BHD,2020-05-01
93,BHD,2019-05-29
101,BHD,2019-06-21
68,BHD,2019-08-20
61,BHD,2019-11-11
74,BHD,2019-07-14
584,BHD,2020-02-02
75,BHD,2019-09-12
518,BHD,2020-05-21
699,BHD,2020-03-22
77,BHD,2019-07-11
95,BHD,2019-05-12
77,BHD,2019-08-03
48,BHD,2019-10-02
85,BHD,2019-06-04
40,BHD,2019-12-24
78,BHD,2019-08-26
70,BHD,2019-10-25
678,BHD,2020-03-16
316,BHD,2020-01-16
3819,Fimplus,2019-05-18
3838,Fimplus,2019-07-03
3589,Fimplus,2019-07-17
3509,Fimplus,2019-07-23
3542,Fimplus,2019-05-21
4478,Fimplus,2019-05-01
3583,Fimplus,2019-07-20
3522,Fimplus,2019-06-10
3474,Fimplus,2019-08-09
3345,Fimplus,2019-06-07
4189,Fimplus,2019-06-30
3312,Fimplus,2019-08-12
3818,Fimplus,2019-06-27
3466,Fimplus,2019-08-29
3709,Fimplus,2019-08-18
4401,Fimplus,2019-05-04
4032,Fimplus,2019-06-16
3487,Fimplus,2019-08-01
3876,Fimplus,2019-07-06
3600,Fimplus,2019-06-19
3463,Fimplus,2019-08-21
3042,Fimplus,2019-07-26
3634,Fimplus,2019-07-09
3564,Fimplus,2019-05-24
3820,Fimplus,2019-05-07
3782,Fimplus,2019-05-30
3292,Fimplus,2019-08-15
3446,Fimplus,2019-06-13
3174,Fimplus,2019-07-29
3887,Fimplus,2019-05-27
3980,Fimplus,2019-05-10
3963,Fimplus,2019-08-04
3896,Fimplus,2019-06-02
3451,Fimplus,2019-07-18
4003,Fimplus,2019-06-22
3441,Fimplus,2019-08-07
3645,Fimplus,2019-05-16
3318,Fimplus,2019-06-05
3915,Fimplus,2019-06-25
3346,Fimplus,2019-08-27
3679,Fimplus,2019-05-13
3860,Fimplus,2019-08-24
3419,Fimplus,2019-07-15
3929,Fimplus,2019-06-28
3423,Fimplus,2019-07-12
3950,Fimplus,2019-07-04
3397,Fimplus,2019-08-16
3803,Fimplus,2019-07-01
3637,Fimplus,2019-05-22
3710,Fimplus,2019-07-21
3741,Fimplus,2019-05-02
4070,Fimplus,2019-05-19
3457,Fimplus,2019-07-27
3682,Fimplus,2019-08-10
3918,Fimplus,2019-05-25
3532,Fimplus,2019-06-08
3396,Fimplus,2019-07-24
3660,Fimplus,2019-08-30
3545,Fimplus,2019-06-14
3344,Fimplus,2019-08-13
3552,Fimplus,2019-06-11
3268,Fimplus,2019-08-19
3675,Fimplus,2019-06-17
4456,Fimplus,2019-05-05
3513,Fimplus,2019-08-02
3935,Fimplus,2019-05-31
3998,Fimplus,2019-07-07
3434,Fimplus,2019-08-22
3510,Fimplus,2019-06-20
4344,Fimplus,2019-05-11
3562,Fimplus,2019-07-10
4234,Fimplus,2019-06-23
3801,Fimplus,2019-05-08
3297,Fimplus,2019-07-30
3586,Fimplus,2019-07-13
3884,Fimplus,2019-05-28
3490,Fimplus,2019-07-19
3629,Fimplus,2019-07-16
3674,Fimplus,2019-06-06
3428,Fimplus,2019-05-20
3530,Fimplus,2019-05-17
3640,Fimplus,2019-06-03
3194,Fimplus,2019-08-05
3846,Fimplus,2019-06-26
3725,Fimplus,2019-08-11
3761,Fimplus,2019-06-09
3566,Fimplus,2019-08-08
3743,Fimplus,2019-05-14
3994,Fimplus,2019-08-25
3787,Fimplus,2019-08-31
4066,Fimplus,2019-06-29
3433,Fimplus,2019-08-28
3960,Fimplus,2019-05-03
3593,Fimplus,2019-06-18
3660,Fimplus,2019-08-17
3935,Fimplus,2019-07-02
3680,Fimplus,2019-05-06
3888,Fimplus,2019-06-15
3545,Fimplus,2019-07-22
3877,Fimplus,2019-07-05
4158,Fimplus,2019-05-26
3484,Fimplus,2019-07-25
3458,Fimplus,2019-05-23
3728,Fimplus,2019-07-08
3407,Fimplus,2019-08-14
3421,Fimplus,2019-06-12
3660,Fimplus,2019-07-28
4039,Fimplus,2019-08-03
3887,Fimplus,2019-06-01
3509,Fimplus,2019-05-15
3541,Fimplus,2019-08-06
3806,Fimplus,2019-06-21
3607,Fimplus,2019-08-23
3372,Fimplus,2019-08-20
3716,Fimplus,2019-06-04
3333,Fimplus,2019-08-26
3424,Fimplus,2019-07-11
4240,Fimplus,2019-05-12
3928,Fimplus,2019-06-24
3139,Fimplus,2019-07-31
3654,Fimplus,2019-07-14
3955,Fimplus,2019-05-29
3753,Fimplus,2019-05-09
12383,PhimGoi,2020-04-03
12764,PhimGoi,2020-04-04
12940,PhimGoi,2020-04-05
11625,PhimGoi,2020-04-06
11598,PhimGoi,2020-04-07
11437,PhimGoi,2020-04-08
11282,PhimGoi,2020-04-09
11145,PhimGoi,2020-04-10
11758,PhimGoi,2020-04-11
11966,PhimGoi,2020-04-12
11238,PhimGoi,2020-04-13
10943,PhimGoi,2020-04-14
10970,PhimGoi,2020-04-15
10852,PhimGoi,2020-04-16
10871,PhimGoi,2020-04-17
11282,PhimGoi,2020-04-18
11616,PhimGoi,2020-04-19
10624,PhimGoi,2020-04-20
10598,PhimGoi,2020-04-21
10437,PhimGoi,2020-04-22
10344,PhimGoi,2020-04-23
10466,PhimGoi,2020-04-24
10969,PhimGoi,2020-04-25
11137,PhimGoi,2020-04-26
9956,PhimGoi,2020-04-27
9693,PhimGoi,2020-04-28
9623,PhimGoi,2020-04-29
9450,PhimGoi,2020-04-30
9019,PhimGoi,2020-05-01
9483,PhimGoi,2020-05-02
10691,PhimGoi,2020-05-03
9703,PhimGoi,2020-05-04
9298,PhimGoi,2020-05-05
9178,PhimGoi,2020-05-06
8762,PhimGoi,2020-05-07
9016,PhimGoi,2020-05-08
9735,PhimGoi,2020-05-09
10093,PhimGoi,2020-05-10
9221,PhimGoi,2020-05-11
8934,PhimGoi,2020-05-12
9541,PhimGoi,2020-05-13
9492,PhimGoi,2020-05-14
9328,PhimGoi,2020-05-15
12014,PhimGoi,2020-05-16
11844,PhimGoi,2020-05-17
9860,PhimGoi,2020-05-18
9363,PhimGoi,2020-05-19
9269,PhimGoi,2020-05-20
8806,PhimGoi,2020-05-21
8986,PhimGoi,2020-05-22
12312,PhimGoi,2020-05-23
12007,PhimGoi,2020-05-24
10095,PhimGoi,2020-05-25
9674,PhimGoi,2020-05-26
9620,PhimGoi,2020-05-27
9309,PhimGoi,2020-05-28
9258,PhimGoi,2020-05-29
11563,PhimGoi,2020-05-30
11305,PhimGoi,2020-05-31
9029,PhimGoi,2020-06-01
